Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Ruben Patterson,31,MIL,31.0,5.4,2.9,1.4,0.3,14.7,18.5,0.578,22.2,2007,10.000000000000002,0.341,0,0.0,0,0.9878048780487805
Chris Paul,21,NOK,36.8,4.4,8.9,1.8,0.0,17.3,22.0,0.537,23.1,2007,15.100000000000001,0.47600000000000003,0,0.0,0,0.7804878048780488
Mike Miller,26,MEM,39.1,5.4,4.3,0.8,0.3,18.5,16.4,0.588,21.1,2007,10.8,0.268,0,0.0,0,0.8536585365853658
Desmond Mason,29,NOK,34.3,4.6,1.5,0.7,0.3,13.7,10.8,0.493,21.9,2007,7.1,0.47600000000000003,0,0.0,0,0.9146341463414634
Joe Johnson,25,ATL,41.4,4.2,4.4,1.1,0.2,25.0,19.5,0.5579999999999999,28.3,2007,9.9,0.366,0,0.0,0,0.6951219512195121
Kevin Martin,23,SAC,35.2,4.3,2.2,1.2,0.1,20.2,20.1,0.614,23.2,2007,7.8,0.402,0,0.0,0,0.975609756097561
Jason Kapono,25,MIA,26.4,2.7,1.2,0.6,0.0,10.9,13.8,0.613,17.9,2007,4.5,0.537,1,0.0,0,0.8170731707317073
Jason Kidd,33,NJN,36.7,8.2,9.2,1.6,0.3,13.0,19.4,0.516,19.4,2007,19.3,0.5,1,0.0,0,0.975609756097561
Andrei Kirilenko,25,UTA,29.3,4.7,2.9,1.1,2.1,8.3,14.3,0.5579999999999999,14.4,2007,10.799999999999999,0.622,1,0.0,0,0.8536585365853658
Brevin Knight,31,CHA,28.3,2.6,6.6,1.5,0.1,9.1,14.3,0.48700000000000004,18.4,2007,10.799999999999999,0.402,0,0.0,0,0.5487804878048781
Kyle Korver,25,PHI,30.9,3.5,1.4,0.8,0.3,14.4,14.2,0.569,21.3,2007,6.0,0.42700000000000005,0,0.0,0,0.9024390243902439
Nenad Krstic,23,NJN,32.6,6.8,1.8,0.4,0.9,16.4,16.9,0.5660000000000001,23.5,2007,9.9,0.5,1,0.0,0,0.3170731707317073
David Lee,23,NYK,29.8,10.4,1.8,0.8,0.4,10.7,20.2,0.652,14.9,2007,13.400000000000002,0.402,0,0.0,0,0.7073170731707317
Rashard Lewis,27,SEA,39.1,6.6,2.4,1.1,0.7,22.4,20.7,0.5870000000000001,24.4,2007,10.799999999999999,0.37799999999999995,0,0.0,0,0.7317073170731707
Shaun Livingston,21,LAC,29.8,3.4,5.1,1.1,0.5,9.3,13.7,0.503,17.4,2007,10.1,0.488,0,0.0,0,0.6585365853658537
